term_id,term_taxonomy_id,name,slug,description,parent,count
52,52,eコマース,ecommerce,,0,2
57,57,eコマースまとめ,containing-ecommerce,,0,1
23,23,WooCommerce,woocommerce,,0,1
58,58,WooCommerceまとめ,containing-woocommerce,,0,1
6,6,WordPress,wordpress,,0,5
56,56,WordPressまとめ,containing-wordpress,,0,1
65,65,ウェブサイト構築,website-building,,0,6
64,64,ウェブサイト構築まとめ,containing-website-building,,0,1
70,70,デザイン,design,,0,4
71,71,デザインまとめ,containing-design,,0,1
19,19,バナー,banner,,0,0
60,60,バナーまとめ,containing-banner,,0,1
26,26,ランディングページ,landing-page,,0,2
61,61,ランディングページまとめ,containing-landing-page,,0,1
73,73,取り組み,working-on,,0,0
72,72,取り組みまとめ,containing-working-on,,0,1
69,69,静的サイト,static-site,,0,1
68,68,静的サイトまとめ,containing-static-site,,0,1
41,41,非公開案件,secret,,0,3
59,59,非公開案件まとめ,containing-secret,,0,1
